epoch,train_acc,train_loss,test_full,test_100,flops_T,time_s,sparsity,acc_airplane,acc_automobile,acc_bird,acc_cat,acc_deer,acc_dog,acc_frog,acc_horse,acc_ship,acc_truck
1,0.8517,0.4593027239942551,0.8791,0.876,0.22347919999999996,48.580652952194214,0.8000000357975087,0.91,0.94,0.84,0.84,0.84,0.75,0.87,0.97,0.95,0.85
2,0.90616,0.2735037236022949,0.8969,0.901,0.4469583999999999,97.70071578025818,0.8000000357975087,0.89,0.98,0.78,0.86,0.86,0.86,0.93,0.98,0.92,0.95
3,0.92532,0.21861389302253723,0.91,0.916,0.6704375999999999,147.00819849967957,0.8000000357975087,0.86,0.97,0.91,0.85,0.93,0.89,0.93,0.98,0.9,0.94
4,0.9347,0.189100283036232,0.9108,0.905,0.8939167999999998,195.41734671592712,0.8000000357975087,0.84,0.97,0.8,0.89,0.94,0.85,0.92,0.95,0.94,0.95
5,0.94096,0.17080659889221192,0.9109,0.92,1.1173959999999998,243.82564616203308,0.8000000357975087,0.89,0.95,0.91,0.86,0.97,0.88,0.9,0.98,0.94,0.92
6,0.94726,0.15193825768947603,0.912,0.908,1.3408751999999997,292.47651839256287,0.8000000357975087,0.86,0.96,0.81,0.82,0.87,0.91,0.97,0.99,0.95,0.94
7,0.95134,0.13767047290802,0.9158,0.911,1.5643543999999998,340.9392035007477,0.8000000357975087,0.89,0.95,0.82,0.84,0.95,0.86,0.95,0.99,0.93,0.93
8,0.95528,0.1280473888397217,0.9129,0.928,1.7878335999999997,389.3997209072113,0.8000000357975087,0.93,0.99,0.9,0.91,0.94,0.85,0.95,0.98,0.92,0.91
9,0.95794,0.11977342361092568,0.917,0.912,2.0113128,438.2764627933502,0.8000000357975087,0.94,0.96,0.89,0.87,0.9,0.86,0.91,0.99,0.91,0.89
10,0.96034,0.11120995052039623,0.9192,0.918,2.2347919999999997,487.51988983154297,0.8000000357975087,0.91,0.98,0.86,0.83,0.91,0.88,0.96,0.99,0.93,0.93
11,0.96368,0.10380263636112214,0.9253,0.928,2.4582711999999995,536.2195625305176,0.8000000357975087,0.97,0.93,0.87,0.86,0.94,0.89,0.94,0.98,0.94,0.96
12,0.96692,0.0952521925330162,0.9249,0.917,2.6817503999999994,584.5034668445587,0.8000000357975087,0.89,0.97,0.85,0.86,0.95,0.87,0.94,0.97,0.94,0.93
13,0.96636,0.09414688992381096,0.924,0.927,2.9052295999999993,633.0403399467468,0.8000000357975087,0.92,0.98,0.88,0.89,0.91,0.86,0.96,0.99,0.93,0.95
14,0.96986,0.08513014836609363,0.9243,0.923,3.1287087999999996,681.5187921524048,0.8000000357975087,0.89,0.99,0.93,0.84,0.96,0.84,0.93,0.98,0.95,0.92
15,0.971,0.08229832805842162,0.9253,0.919,3.3521879999999995,729.9972169399261,0.8000000357975087,0.86,0.96,0.84,0.84,0.95,0.86,0.97,0.99,0.96,0.96
16,0.9726,0.07784390585660934,0.9248,0.918,3.5756671999999994,778.8572654724121,0.8000000357975087,0.88,0.92,0.91,0.85,0.9,0.9,0.94,0.99,0.92,0.97
17,0.9748,0.07256612906754017,0.9265,0.92,3.7991463999999997,827.8318753242493,0.8000000357975087,0.89,0.96,0.84,0.89,0.9,0.88,0.97,0.98,0.95,0.94
18,0.97452,0.07181510502249003,0.9243,0.924,4.0226256,876.4710352420807,0.8000000357975087,0.93,0.97,0.91,0.86,0.91,0.85,0.94,0.99,0.93,0.95
19,0.97616,0.06855890717327595,0.9282,0.916,4.2461047999999995,924.5482568740845,0.8000000357975087,0.88,0.95,0.92,0.86,0.88,0.85,0.94,0.98,0.95,0.95
20,0.97706,0.06513915089428425,0.9326,0.937,4.469583999999999,972.7927253246307,0.8000000357975087,0.96,0.95,0.86,0.89,0.95,0.89,0.97,0.99,0.97,0.94
21,0.97956,0.059078765468895435,0.9257,0.932,4.693063199999999,1021.0498554706573,0.8000000357975087,0.94,0.95,0.91,0.87,0.93,0.88,0.98,0.99,0.95,0.92
22,0.97816,0.06174322700679302,0.9277,0.924,4.916542399999999,1069.5160176753998,0.8000000357975087,0.94,0.99,0.88,0.89,0.9,0.87,0.95,0.95,0.95,0.92
23,0.98036,0.05835031452268362,0.9213,0.911,5.140021599999999,1118.4283967018127,0.8000000357975087,0.89,0.97,0.86,0.82,0.88,0.89,0.95,0.99,0.94,0.92
24,0.98106,0.05449541971459985,0.9322,0.929,5.363500799999999,1167.526858329773,0.8000000357975087,0.88,0.99,0.86,0.88,0.96,0.87,0.97,0.99,0.94,0.95
25,0.98162,0.052665967993587255,0.9285,0.925,5.586979999999999,1216.4722990989685,0.8000000357975087,0.9,0.98,0.89,0.88,0.92,0.88,0.96,0.99,0.92,0.93
26,0.9817,0.052919977952167394,0.9277,0.927,5.810459199999999,1264.6559014320374,0.8000000357975087,0.93,0.96,0.93,0.91,0.89,0.87,0.95,0.99,0.91,0.93
27,0.98172,0.05061795126080513,0.9295,0.925,6.033938399999999,1313.0302629470825,0.8000000357975087,0.91,0.97,0.91,0.85,0.91,0.9,0.94,0.99,0.94,0.93
28,0.9833,0.047257935282289984,0.9302,0.927,6.257417599999999,1361.6306676864624,0.8000000357975087,0.89,0.96,0.92,0.9,0.94,0.86,0.94,0.98,0.95,0.93
29,0.98406,0.04618354182749987,0.9292,0.927,6.480896799999999,1410.2898707389832,0.8000000357975087,0.92,0.93,0.93,0.85,0.92,0.85,0.97,0.98,0.95,0.97
30,0.98362,0.046670998132377864,0.9271,0.93,6.704375999999999,1459.617803812027,0.8000000357975087,0.92,0.98,0.9,0.91,0.95,0.83,0.95,0.99,0.92,0.95
