epoch,stage,train_acc,train_loss,test_full,test_100,flops_T,time_s,sparsity,E_airplane,C_airplane,acc_airplane,E_automobile,C_automobile,acc_automobile,E_bird,C_bird,acc_bird,E_cat,C_cat,acc_cat,E_deer,C_deer,acc_deer,E_dog,C_dog,acc_dog,E_frog,C_frog,acc_frog,E_horse,C_horse,acc_horse,E_ship,C_ship,acc_ship,E_truck,C_truck,acc_truck
1,1,0.12072,2.5155258532714844,0.2026,0.199,0.0036748198979591013,23.066878080368042,0.9868450603359521,2.376873242003577,0.0,0.59,2.3688348093811347,0.0,0.06,2.3741893932527427,0.0,0.0,2.4278954687167187,0.0,0.0,2.427820194132474,0.0,0.0,2.5141067827234465,0.0,0.21,2.414253368669627,0.0,0.8,2.379870946918215,0.0,0.0,2.3146074718358567,0.0,0.17,2.4078066823433857,0.0,0.16
2,1,0.22008,2.111449651527405,0.2001,0.181,0.004552610714285566,39.51594829559326,0.9968577275765697,2.031092509323237,0.0,0.52,1.9970496850354331,0.0008132913891150026,0.05,2.210490421981228,0.0,0.0,2.178953334385035,0.0,0.18,2.12509832090261,0.0,0.58,2.1696853382246837,0.0,0.0,1.8439773561394945,0.00032588748299345677,0.0,2.0989887683975454,0.0,0.22,1.97051353235634,0.002669345359412991,0.07,2.085710784610437,0.0,0.19
3,1,0.28712,1.8881644144439698,0.3006,0.272,0.00530199451530592,56.97576713562012,0.9973173926991327,1.8629674455341028,0.0,0.35,1.7411819541332674,0.000425339049222518,0.29,2.100724555399953,0.0,0.08,2.038275135414941,0.0,0.04,2.054251712195727,0.0,0.5,1.9640577745680907,0.0,0.21,1.7966972948337088,0.0,0.03,1.9076685072207937,0.0,0.38,1.7165804678688243,0.005905832867233121,0.2,1.7613889593250898,0.0,0.64
4,1,0.3248,1.784255725326538,0.2775,0.27,0.006177565178571144,73.36564803123474,0.9968656751713842,1.7670322687042004,0.0,0.31,1.551597378387743,0.002135585461344038,0.62,1.9957020696328611,0.0,0.0,1.9599732793107325,0.0,0.02,1.9530569515666183,0.0,0.1,1.8777989456240012,0.00017428002795394587,0.76,1.7646867565962734,0.0,0.03,1.7961264897365958,0.0,0.23,1.6426522737863112,7.224143767843442e-05,0.42,1.6344756663453823,0.00016177704139631622,0.21
5,1,0.36024,1.7128144676971435,0.3725,0.375,0.006985458928571237,89.65662813186646,0.9971079416593681,1.6937701991017984,0.0001515055797537979,0.36,1.5006636156111348,0.007520218284762636,0.57,1.962404369091501,0.0,0.37,1.9577439366554727,0.0,0.2,1.9146044290795619,0.0,0.12,1.7906625666180436,0.00026300488686075015,0.32,1.6878386887968804,0.0,0.4,1.771717862815273,0.0004796154645024514,0.36,1.56179271729625,7.512313979012626e-05,0.51,1.5678234413570287,0.0016699503270947204,0.54
6,1,0.41096,1.5991953549957276,0.3706,0.376,0.007887578954081455,106.95134472846985,0.9967706350692432,1.5818104695300668,0.0005050113006513946,0.53,1.3511511754928802,0.01826714268144296,0.6,1.8718171928610121,0.0,0.27,1.8891998827457428,0.0,0.08,1.8834679509912218,0.0,0.0,1.677085476566334,0.0009373003730968553,0.53,1.517057632913395,0.014168805613809702,0.43,1.659012885726228,0.0049993675582262935,0.43,1.4265270719722825,0.011360599070179219,0.48,1.4306522473996999,0.008352423200801927,0.41
7,1,0.42696,1.561813293533325,0.3932,0.387,0.008956232525509979,124.12562394142151,0.9961744864662023,1.5808610751920817,0.00316851053919111,0.41,1.3596719305734246,0.013470951695831455,0.61,1.8179231565825793,0.0,0.34,1.8607636830028222,0.0,0.07,1.8528059946030986,0.0,0.35,1.6299473311828108,0.0018605142831802368,0.25,1.431974237974809,0.010156666441839568,0.71,1.6379774145934047,0.0020707943001571968,0.29,1.3938724115795018,0.010115735080777382,0.58,1.3899519407019323,0.013108884193459335,0.26
8,1,0.46672,1.4667680221176147,0.4244,0.414,0.009965153188775276,140.47936868667603,0.996388315395147,1.4492332968784838,0.012272000616910507,0.3,1.197556922630388,0.0382156457219805,0.33,1.762317227465766,0.0,0.53,1.8272775539330073,0.0,0.07,1.7905983912701509,0.0,0.27,1.5766078464838924,0.0011123947951258446,0.46,1.2861142319684127,0.03238405773834306,0.47,1.559195485954382,0.008772543194342633,0.46,1.2609295755320666,0.03662334397739293,0.78,1.344825414066412,0.02102150631194212,0.47
9,1,0.49984,1.3945844258880615,0.4638,0.437,0.011019077806122272,157.82576322555542,0.9962272124521383,1.4337945154735021,0.008864286602759848,0.47,1.1440553836980645,0.07786334336412196,0.56,1.6905539960277325,0.0005020724267375713,0.35,1.7791163380048713,0.0,0.16,1.7246137036352742,0.0,0.27,1.4338364592012094,0.008233619891867345,0.28,1.2659773466234305,0.04971431362993863,0.77,1.4545984313804277,0.01395159503635095,0.45,1.2064241744121726,0.05506897018272049,0.67,1.205288218296304,0.05031376925049996,0.39
10,1,0.5296,1.3197086046981812,0.4732,0.49,0.012107123469387573,174.11983132362366,0.9961050676089097,1.362681012068476,0.019271934214903384,0.37,1.03596238244553,0.12816694165979112,0.69,1.6334481671148418,0.002373837086619163,0.44,1.7496639526620203,0.0,0.28,1.6583404735643037,0.0,0.39,1.3948272754039084,0.031010702404440666,0.42,1.1510223685478678,0.07001582761200106,0.3,1.3588792388232387,0.03303861389962994,0.7,1.1403252274102094,0.06946021272819869,0.83,1.144943709884371,0.05975158968750311,0.48
