epoch,stage,train_acc,train_loss,test_full,test_100,flops_T,time_s,sparsity,E_airplane,C_airplane,acc_airplane,E_automobile,C_automobile,acc_automobile,E_bird,C_bird,acc_bird,E_cat,C_cat,acc_cat,E_deer,C_deer,acc_deer,E_dog,C_dog,acc_dog,E_frog,C_frog,acc_frog,E_horse,C_horse,acc_horse,E_ship,C_ship,acc_ship,E_truck,C_truck,acc_truck
1,0,0.5649,1.2644866114616393,0.6036,0.604,0.22347924,12.814743280410767,0.0,0.0,0.0,0.74,0.0,0.0,0.82,0.0,0.0,0.49,0.0,0.0,0.3,0.0,0.0,0.64,0.0,0.0,0.74,0.0,0.0,0.51,0.0,0.0,0.47,0.0,0.0,0.79,0.0,0.0,0.54
2,0,0.716,0.8309708366394043,0.6331,0.644,0.44695848,25.731011152267456,0.0,0.0,0.0,0.77,0.0,0.0,0.98,0.0,0.0,0.66,0.0,0.0,0.46,0.0,0.0,0.48,0.0,0.0,0.41,0.0,0.0,0.56,0.0,0.0,0.69,0.0,0.0,0.75,0.0,0.0,0.68
3,0,0.7634,0.6974306091308594,0.6616,0.652,0.67043772,38.59271597862244,0.0,0.0,0.0,0.65,0.0,0.0,0.42,0.0,0.0,0.63,0.0,0.0,0.28,0.0,0.0,0.67,0.0,0.0,0.67,0.0,0.0,0.74,0.0,0.0,0.82,0.0,0.0,0.68,0.0,0.0,0.96
4,0,0.7941,0.6042775358200073,0.725,0.725,0.89391696,51.26003623008728,0.0,0.0,0.0,0.64,0.0,0.0,0.7,0.0,0.0,0.68,0.0,0.0,0.65,0.0,0.0,0.67,0.0,0.0,0.78,0.0,0.0,0.57,0.0,0.0,0.82,0.0,0.0,0.86,0.0,0.0,0.88
5,0,0.8248,0.522877859210968,0.6877,0.701,1.1173962,64.00309610366821,0.0,0.0,0.0,0.69,0.0,0.0,0.95,0.0,0.0,0.86,0.0,0.0,0.71,0.0,0.0,0.59,0.0,0.0,0.52,0.0,0.0,0.75,0.0,0.0,0.83,0.0,0.0,0.78,0.0,0.0,0.33
6,1,0.75984,0.7215153774833679,0.7082,0.713,1.1365073348214285,80.16099643707275,0.9315868988227146,0.7466391537252965,0.3231860618819768,0.7,0.363258158433744,0.6468427712790187,0.79,0.9300131561538699,0.2003969257241305,0.62,1.1693147475622139,0.07149062716231054,0.62,0.8379050850944252,0.2344262138845361,0.61,0.8616583009882431,0.23332000233717642,0.53,0.6558072588558556,0.37734298526822607,0.88,0.6780348620805129,0.3468391366198431,0.79,0.5442514250302041,0.4830980646538035,0.88,0.5503577463119766,0.4879527656760599,0.71
7,1,0.80592,0.5766648273086548,0.7194,0.725,1.1522292051020409,96.3642635345459,0.9437196214534742,0.5976930331932951,0.4300645646278043,0.67,0.3018583681218193,0.6970126450962235,0.88,0.7745526891809945,0.3024692325947844,0.87,1.0004714932672831,0.13424373478913793,0.6,0.7536663001270166,0.28135987794102757,0.55,0.7240803643528905,0.32041480099516256,0.79,0.515926966025513,0.5039512432199351,0.72,0.5285562305350084,0.4853138639686667,0.77,0.41498752920745813,0.5903215751037648,0.84,0.3694253542997437,0.6324611600768771,0.56
8,1,0.82744,0.5099225735282898,0.725,0.707,1.1670508616071429,113.27876782417297,0.9469421624841677,0.4857397394977054,0.5257076944167517,0.67,0.22806800650117537,0.7795296017245108,0.83,0.7294361007076745,0.3378921625945641,0.6,0.9379086702757952,0.15435605374526004,0.65,0.6413671653337625,0.38555629711065975,0.48,0.6796692892604944,0.36588652553607004,0.58,0.4670598097525689,0.533418473730586,0.64,0.5171119272138696,0.49059591493664345,0.93,0.37038071772881914,0.6344515360435661,0.94,0.33262987049980736,0.6764108160491653,0.75
9,1,0.83336,0.482162624168396,0.6682,0.655,1.1810854760204081,129.4399449825287,0.9497595770837046,0.5098909535825404,0.5228386459663055,0.65,0.2057278995031856,0.7892034954533642,0.43,0.649914088906074,0.37779588297921785,0.63,0.8817059782390692,0.19111113082997652,0.34,0.5972386166757467,0.4226098407287987,0.48,0.639940810788955,0.3939212222716638,0.72,0.4694055800459215,0.5391612337636096,0.69,0.44093911990770424,0.5619746987679403,0.91,0.3315236005666001,0.6757763530108698,0.94,0.339621762897135,0.6585153231245219,0.76
10,1,0.81632,0.5439927880477905,0.7608,0.769,1.1933747654336735,145.6293489933014,0.9560074057410777,0.5056428853422403,0.5133944574591457,0.89,0.2824990940794402,0.7143911339341629,0.81,0.7237457793434056,0.33094146642453814,0.81,0.9821888886544169,0.1595521030985579,0.76,0.702558437058208,0.3554058094337887,0.79,0.7062740819528699,0.33582356623468956,0.62,0.49430195922602194,0.5240788858535946,0.58,0.4968099117716204,0.5255434296131895,0.72,0.39475839387397377,0.6093684413603374,0.85,0.38702757741153543,0.6283079301273184,0.86
